US Females T-20		US Females T+20		Hadza T-20		Hadza T+20		Type II T-20		Type II T+20
0.4106437		0.4946382		0.4135615		0.4882912		0.4709093		0.48804
0.4103547		0.4946177		0.4139058		0.4882499		0.4709808		0.4879612
0.4099983		0.4945967		0.4141926		0.4882074		0.4709309		0.4878642
0.4098142		0.4945762		0.4143546		0.4881569		0.4708077		0.487749
0.409471		0.4945561		0.4136687		0.4881106		0.4706216		0.4876248
0.4091291		0.4945356		0.4132098		0.4880701		0.4706983		0.4874939
0.4087587		0.4945168		0.4136927		0.4880304		0.4706333		0.4873627
0.4086393		0.4944973		0.4135155		0.4879899		0.4704837		0.4872234
0.4085575		0.4944785		0.4136223		0.487948		0.4704014		0.4870936
0.4082614		0.4944605		0.4133376		0.4879027		0.4702812		0.4869646
0.407928		0.4944431		0.4132458		0.487862		0.4702125		0.4868395
0.4078535		0.4944266		0.4124869		0.487818		0.4701566		0.4867195
0.4078172		0.4944086		0.4125802		0.4877735		0.470013		0.4866152
0.4076675		0.4943915		0.4125169		0.4877211		0.4698775		0.4865076
0.4073604		0.4943744		0.4121434		0.4876571		0.4697552		0.4864168
0.4072851		0.4943573		0.4122606		0.4875901		0.4696387		0.4863374
0.4071834		0.494339		0.4118734		0.4875141		0.4695308		0.4862637
0.4068937		0.49432			0.4115163		0.4874358		0.4693776		0.4861947
0.4067111		0.4943012		0.4112698		0.4873517		0.4692691		0.4861455
0.4065864		0.4942802		0.4107872		0.4872628		0.4690211		0.486107
0.406431		0.4942599		0.4102322		0.4871802		0.4690161		0.4860744
0.4060989		0.4942378		0.41028			0.4871032		0.4687969		0.4860567
0.4059176		0.4942159		0.4103012		0.4870342		0.4687353		0.4860454
0.4055642		0.494194		0.4106936		0.486978		0.4687481		0.4860385
0.4049939		0.4941716		0.4105027		0.4869283		0.4688188		0.486038
0.4046385		0.4941499		0.4102522		0.4869004		0.4687065		0.4860381
0.4043214		0.4941272		0.4102796		0.4868811		0.4686897		0.4860311
0.4040055		0.4941048		0.4098363		0.486878		0.4685369		0.4860245
0.4033802		0.4940823		0.4098996		0.4868825		0.4685116		0.4860182
0.4025767		0.4940607		0.4094481		0.4868962		0.4685004		0.4860042
0.401783		0.4940393		0.4092594		0.4869091		0.4683305		0.4859809
0.4010713		0.4940188		0.4095667		0.4869263		0.468222		0.4859629
0.4006252		0.4939981		0.4095002		0.4869465		0.4681379		0.4859309
0.4001064		0.4939771		0.4094899		0.4869586		0.4681099		0.4858941
0.3994864		0.4939567		0.4090023		0.4869625		0.4679433		0.4858431
0.398959		0.4939356		0.4089704		0.4869567		0.4678041		0.4857843
0.3988929		0.4939149		0.4086692		0.4869352		0.4678245		0.4857167
0.3987246		0.4938944		0.4084636		0.486912		0.4677288		0.4856397
0.3986038		0.4938737		0.4077617		0.4868779		0.4676487		0.4855609
0.3983819		0.493853		0.4074358		0.4868256		0.4676897		0.4854781
0.3980715		0.4938324		0.4069756		0.4867624		0.4676758		0.4853801
0.3976657		0.493811		0.4071134		0.486689		0.4674686		0.4852818
0.3972491		0.4937892		0.4065184		0.4866189		0.467331		0.4851847
0.3969541		0.4937668		0.4060364		0.4865424		0.4672898		0.4850899
0.3968413		0.493744		0.4059043		0.4864662		0.4672243		0.4850016
0.396412		0.4937208		0.4057378		0.4863961		0.4670005		0.4849177
0.3959598		0.4936973		0.4053476		0.4863297		0.4668792		0.4848385
0.3956386		0.4936737		0.4049696		0.4862779		0.4667554		0.484765
0.3951768		0.4936505		0.4049106		0.4862403		0.4665591		0.4846929
0.3946763		0.4936275		0.4041037		0.4862077		0.4664402		0.4846152
0.3941282		0.4936057		0.4037109		0.4861947		0.4663437		0.4845365
0.3935256		0.4935832		0.4032612		0.4861995		0.4661928		0.4844484
0.3929637		0.493562		0.4032887		0.4862228		0.4661568		0.4843697
0.3925238		0.493542		0.4027842		0.4862552		0.4661791		0.4842715
0.3921771		0.4935225		0.4026165		0.4862982		0.4661765		0.48417
0.391812		0.493504		0.4022536		0.4863499		0.4661078		0.4840584
0.3914247		0.4934868		0.4017901		0.4864057		0.4659793		0.4839431
0.3911338		0.4934692		0.401475		0.4864688		0.4658748		0.4838323
0.3908982		0.4934532		0.4009205		0.4865361		0.465775		0.4837284
0.3907736		0.4934368		0.4006303		0.4865923		0.465713		0.4836432
0.3903538		0.4934218		0.4003062		0.4866458		0.4656132		0.4835703
0.3900221		0.4934057		0.4002132		0.4866913		0.4654777		0.4835015
0.3896192		0.4933898		0.3998844		0.4867268		0.465347		0.4834597
0.3892764		0.4933743		0.3992622		0.4867499		0.4652994		0.4834304
0.3889414		0.4933582		0.3990274		0.4867618		0.4651196		0.4834183
0.3886484		0.4933414		0.3988318		0.486758		0.4650971		0.4834195
0.3883961		0.4933233		0.3981905		0.4867374		0.4650792		0.483425
0.3882955		0.4933048		0.3980133		0.4867048		0.4650403		0.4834365
0.38814			0.4932867		0.397727		0.4866627		0.4649021		0.4834383
0.3879064		0.493267		0.397308		0.4866035		0.4647114		0.4834408
0.3874319		0.4932487		0.3968897		0.4865408		0.4647049		0.4834422
0.3869811		0.493229		0.3963033		0.4864636		0.4644406		0.4834244
0.3866554		0.4932093		0.3961014		0.4863789		0.4644339		0.4833854
0.3863924		0.4931893		0.3957954		0.486288		0.4641449		0.483338
0.3862888		0.4931696		0.3957264		0.486193		0.464151		0.4832756
0.3859788		0.4931497		0.3952383		0.4860967		0.464035		0.4832066
0.3856387		0.4931298		0.3951493		0.4860002		0.464004		0.4831135
0.385317		0.4931099		0.3949161		0.4859077		0.4639112		0.4830156
0.3848947		0.4930908		0.395014		0.485811		0.4640423		0.482902
0.3845674		0.4930723		0.3949456		0.4857246		0.4639744		0.4827886
0.3843467		0.4930559		0.3943309		0.4856466		0.4641109		0.4826558
0.384113		0.4930392		0.3941496		0.485568		0.4639495		0.4825217
0.3838044		0.4930219		0.393766		0.4854987		0.463797		0.4823855
0.3834409		0.4930053		0.3936959		0.4854308		0.4637047		0.4822437
0.3831102		0.4929893		0.3936229		0.4853722		0.4636404		0.4821039
0.3829267		0.4929743		0.3934176		0.4853192		0.4635613		0.4819607
0.3826371		0.4929589		0.3932137		0.4852658		0.4633881		0.4818156
0.3823339		0.4929444		0.3929438		0.4852122		0.4633223		0.4816889
0.3820236		0.4929294		0.3925501		0.4851603		0.4631942		0.4815551
0.3816208		0.4929143		0.3924157		0.4851072		0.4631217		0.4814439
0.3812367		0.4928966		0.391935		0.4850538		0.4629339		0.4813395
